record_id,gender,age
19,1,24
20,1,24
22,2,25
23,1,22
24,1,24
25,1,24
26,1,22
27,1,27
28,1,41
29,2,19
30,1,20
31,1,23
32,1,23
34,2,28
35,1,34
36,1,49
37,2,30
38,1,24
39,1,46
40,2,24
41,2,31
42,2,24
43,1,22
44,2,22
45,1,23
46,2,28
47,2,23
48,2,29
49,1,22
50,1,19
51,1,22
52,2,26
54,1,20
55,2,23
56,2,29
57,1,22
58,1,26
59,2,30
60,1,26
61,1,23
62,2,21
63,2,26
64,1,24
65,1,22
66,1,24
67,1,24
68,2,27
69,1,25
70,1,23
71,2,22
72,1,22
73,1,33
74,2,24
75,1,23
76,2,23
77,2,24
78,1,26
79,1,22
80,2,33
81,2,52
82,2,18
83,2,30
84,2,29
85,2,24
86,1,25
87,2,25
88,1,26
90,2,23
91,1,27
92,1,29
93,2,24
94,2,47
95,1,23
96,2,23
97,1,26
98,1,25
99,1,26
100,2,36
101,1,23
102,2,23
103,1,25
104,1,24
105,1,23
106,2,23
107,2,24
108,2,30
109,3,25
110,2,31
111,1,49
112,1,21
113,1,26
114,1,21
115,1,24
116,2,26
117,2,23
118,1,21
119,1,20
120,2,23
122,2,31
123,1,27
124,1,22
126,1,22
127,2,25
128,2,26
129,2,25
130,2,25
131,2,18
132,2,22
133,2,25
134,1,22
135,1,22
136,1,22
137,1,20
138,1,23
139,1,26
140,2,25
141,2,33
142,2,23
143,1,22
144,1,22
145,1,23
146,1,21
147,1,21
148,1,23
149,2,20
150,1,24
151,1,25
153,1,21
154,1,20
155,2,23
156,1,35
157,1,21
158,2,28
159,1,26
160,1,24
161,2,23
162,2,21
163,2,21
164,2,25
165,1,22
166,1,22
168,1,21
169,1,22
170,1,24
171,1,23
172,1,25
173,2,22
174,1,23
175,1,20
176,1,27
177,1,22
179,1,22
180,2,38
181,2,31
182,2,23
183,1,27
184,2,25
185,1,23
186,1,21
187,1,22
188,1,26
189,1,39
190,2,26
191,2,22
192,2,22
193,1,21
194,1,24
197,2,23
198,2,19
199,1,32
200,1,27
202,1,22
203,2,24
204,2,25
205,2,23
205,2,19
206,2,29
207,1,24
208,1,23
209,2,32
210,2,20
211,2,24
212,1,22
213,1,24
216,1,28
217,2,23
218,1,30
219,1,21
220,2,22
221,1,22
222,2,25
223,2,26
224,1,25
225,2,24
226,2,24
227,1,56
228,2,21
229,2,23
230,1,24
231,2,27
232,2,22
233,1,21
234,1,21
235,2,24
236,1,22
237,2,20
238,1,23
239,1,30
240,1,20
241,2,25
243,1,23
244,2,27
245,1,27
246,1,22
247,1,21
248,1,21
249,1,24
250,1,25
251,1,21
252,2,25
253,1,24
254,1,22
255,1,23
256,1,22
